happy,sad,angry,fear,neutral,surprise,disgust,label
66.66666666666666,0.0,0.9009009009009009,0.9009009009009009,18.91891891891892,12.612612612612612,0.0,Positive
28.26086956521739,0.0,0.0,0.24154589371980675,52.41545893719807,19.082125603864732,0.0,Little Positive
11.11111111111111,11.11111111111111,0.0,0.0,77.77777777777779,0.0,0.0,Negative
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Positive
49.63503649635037,3.64963503649635,34.306569343065696,0.0,12.408759124087592,0.0,0.0,Negative
5.079365079365079,12.063492063492063,70.7936507936508,0.6349206349206349,11.428571428571429,0.0,0.0,Negative
34.36293436293436,31.27413127413127,3.474903474903475,0.7722007722007722,30.115830115830118,0.0,0.0,Negative
46.3963963963964,6.756756756756757,0.0,0.0,46.846846846846844,0.0,0.0,Little Positive
32.48945147679325,11.39240506329114,0.0,19.40928270042194,2.109704641350211,34.59915611814346,0.0,Positive
18.0,4.0,0.5,18.5,39.75,19.25,0.0,Little Positive
2.1052631578947367,25.263157894736842,0.0,0.0,51.578947368421055,21.052631578947366,0.0,Little Positive
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Positive
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Positive
50.0,0.0,0.0,0.0,50.0,0.0,0.0,Negative
26.923076923076923,0.0,0.0,0.0,30.76923076923077,42.30769230769231,0.0,Little Positive
20.0,0.0,0.0,0.0,68.0,12.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
0.0,3.8461538461538463,0.0,50.0,26.923076923076923,19.230769230769234,0.0,Negative
0.0,0.0,0.0,67.85714285714286,0.0,32.142857142857146,0.0,Negative
0.0,0.0,0.0,7.4074074074074066,0.0,92.5925925925926,0.0,Positive
19.047619047619047,9.523809523809524,0.0,33.33333333333333,33.33333333333333,4.761904761904762,0.0,Negative
17.857142857142858,78.57142857142857,0.0,0.0,3.571428571428571,0.0,0.0,Negative
0.0,7.4074074074074066,0.0,0.0,11.11111111111111,81.48148148148148,0.0,Positive
0.0,0.0,0.0,0.0,0.0,100.0,0.0,Positive
8.0,4.0,0.0,0.0,68.0,20.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
5.263157894736842,21.052631578947366,5.263157894736842,0.0,63.1578947368421,5.263157894736842,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Negative
